race_number,saddle_number,win_fair_price,win_starting_price,winner
1,4,1.7353,1.7098,1
1,1,6.0313,6.0914,0
1,5,7.6923,7.5101,0
1,6,20.3325,20.4978,0
1,2,23.9991,23.471,0
1,3,26.9763,26.7811,0
2,7,5.674,5.3143,0
2,3,5.7191,5.7597,0
2,1,6.0408,5.8167,0
2,5,6.7459,6.6124,0
2,8,7.9893,7.8472,1
2,6,7.8647,7.9586,0
2,2,12.5539,13.1198,0
2,4,317.1708,314.5849,0
3,2,4.2377,4.4325,0
3,7,6.9792,6.7636,0
3,9,8.0748,8.1214,1
3,4,8.4007,8.6385,0
3,8,13.2816,12.6998,0
3,10,13.9839,13.998,0
3,1,14.5477,14.7509,0
3,3,19.0572,18.3981,0
3,5,21.9089,21.8909,0
3,6,23.8571,24.5666,0
3,11,44.8736,46.6145,0
4,13,4.6381,4.678,0
4,9,5.6705,5.5985,0
4,3,5.7824,5.8747,0
4,8,9.9612,9.942,1
4,5,12.3299,12.7261,0
4,10,15.4008,15.8989,0
4,1,22.5943,23.1243,0
4,12,25.7323,24.5946,0
4,11,27.1598,27.2099,0
4,14,28.9901,27.5141,0
4,7,66.3794,63.1332,0
4,2,92.8361,98.4712,0
4,6,120.8167,122.158,0
4,4,7618.5185,1000,0
5,1,2.5998,2.561,1
5,5,4.4834,4.5494,0
5,3,5.5303,5.3733,0
5,4,6.4774,6.5646,0
5,6,23.3813,22.9635,0
5,2,69.7688,67.4165,0
6,8,3.2869,3.4041,0
6,6,4.3312,4.2679,0
6,4,7.6548,7.5414,1
6,1,10.8093,10.8464,0
6,2,11.5848,12.2435,0
6,9,19.0274,19.8616,0
6,7,24.6199,25.1827,0
6,5,27.3313,27.3603,0
6,3,38.9838,41.4375,0
7,3,2.7217,2.5837,1
7,7,4.5855,4.7951,0
7,5,11.5924,11.513,0
7,6,12.7852,13.6949,0
7,1,14.9325,15.3975,0
7,4,20.585,20.286,0
7,2,20.1504,20.684,0
7,8,22.7256,23.7411,0
7,9,24.4794,24.1669,0
8,11,4.2192,4.3614,1
8,4,7.2578,7.2301,0
8,10,9.321,8.9089,0
8,8,9.9196,9.8361,0
8,9,10.3531,10.1737,0
8,6,10.6549,10.6909,0
8,2,14.6888,14.0521,0
8,3,17.9217,17.5021,0
8,5,22.1848,22.35,0
8,1,27.7374,26.9945,0
8,7,46.1647,46.9529,0
9,7,3.7461,3.87,0
9,5,4.8928,4.7795,0
9,6,6.0118,6.2282,1
9,2,8.0727,8.2196,0
9,8,10.2651,10.0606,0
9,1,12.1131,12.3285,0
9,9,23.2651,23.7153,0
9,4,67.3655,65.0678,0
9,3,1509.37,1000,0
10,1,2.8865,3.0087,1
10,8,7.1345,7.2613,0
10,6,8.0306,7.7128,0
10,4,12.0176,12.1763,0
10,5,12.2152,12.6453,0
10,3,13.9498,14.0087,0
10,12,15.9201,15.8273,0
10,7,21.1772,20.9647,0
10,10,39.8304,40.0559,0
10,2,123.0501,121.5313,0
10,9,154.3258,156.3892,0
10,11,422.289,418.2669,0
11,7,4.0653,3.9714,1
11,3,3.9954,4.0532,0
11,6,6.8588,7.2301,0
11,8,9.7298,9.7582,0
11,1,10.5969,10.0749,0
11,4,16.9665,18.396,0
11,9,20.7245,19.719,0
11,5,20.0398,20.1106,0
11,2,270.9394,263.4134,0
12,10,4.1215,4.0847,1
12,8,5.8965,6.3816,0
12,7,7.931,7.4442,0
12,2,7.5951,7.7814,0
12,6,9.3378,9.6328,0
12,3,9.2745,9.6746,0
12,1,17.0194,16.6504,0
12,5,29.1525,29.3608,0
12,11,85.7369,81.6272,0
12,4,149.6056,146.6259,0
12,9,436.6771,439.1748,0
12,12,708.4375,728.8452,0
13,7,3.0056,2.9676,0
13,8,5.6246,5.4344,0
13,2,7.2736,7.398,0
13,4,10.2872,10.1106,1
13,1,11.7946,11.8004,0
13,3,12.6091,12.3587,0
13,6,14.9846,16.04,0
13,5,41.7054,40.4675,0
14,5,1.4875,1.5522,1
14,4,9.1848,9.4428,0
14,7,17.4877,17.3103,0
14,1,22.3836,22.234,0
14,2,24.347,23.5147,0
14,3,25.1614,25.0904,0
14,6,27.6276,26.9661,0
15,7,5.0715,4.8854,0
15,5,6.357,6.1655,0
15,4,6.6693,7.1227,0
15,12,9.4626,8.7711,0
15,11,11.7566,11.588,0
15,3,12.756,12.5253,1
15,1,13.6432,13.8601,0
15,2,19.1337,20.4805,0
15,8,24.5723,24.6087,0
15,9,33.8259,35.3178,0
15,10,47.9725,48.4943,0
15,6,102.3307,106.2023,0
16,3,2.325,2.4426,1
16,4,2.5124,2.6254,0
16,1,6.3585,6.1572,0
16,2,68.4808,73.7509,0
17,5,4.7552,4.9175,0
17,10,5.8591,5.9368,1
17,4,6.7249,6.8225,0
17,3,11.6646,11.3262,0
17,2,12.7706,11.9952,0
17,9,12.0546,12.189,0
17,6,16.9453,17.1004,0
17,12,18.4982,18.6244,0
17,11,23.1493,23.1688,0
17,7,24.3596,25.0013,0
17,8,39.6214,38.5183,0
17,1,1286.8207,1000,0
18,10,4.0123,4.0526,0
18,1,8.0112,8.2749,0
18,14,10.7533,10.5791,0
18,8,11.7117,11.1222,0
18,12,10.9614,11.2796,0
18,15,11.9284,11.8585,0
18,5,11.1784,12.3543,1
18,3,18.3962,18.6223,0
18,4,21.4296,21.7652,0
18,11,38.8797,37.5329,0
18,13,57.5621,56.2133,0
18,7,56.1854,59.7436,0
18,9,79.7271,80.1117,0
18,6,174.7566,175.8056,0
18,2,349.7742,357.8349,0
19,3,2.8966,2.8976,0
19,7,3.5363,3.5987,1
19,6,4.4607,4.5558,0
19,5,21.6005,21.9003,0
19,8,22.6952,22.4859,0
19,2,38.7376,38.9071,0
19,1,69.0057,70.5158,0
19,9,105.503,103.2094,0
19,4,130.3633,129.0296,0
20,1,1.3008,1.2866,1
20,6,15.5261,15.1732,0
20,5,18.5153,17.8229,0
20,2,24.2303,24.4982,0
20,4,27.8547,27.1568,0
20,3,28.0557,28.6223,0
21,4,3.1364,2.9941,1
21,7,3.5459,3.5579,0
21,9,14.1224,14.0534,0
21,8,15.3937,15.0511,0
21,10,14.7505,15.3111,0
21,11,17.6656,17.7693,0
21,5,24.4231,24.1002,0
21,1,24.8176,25.14,0
21,6,32.0221,30.7691,0
21,3,48.1471,47.5474,0
21,2,174.2854,171.1415,0
22,6,5.4424,5.5383,0
22,9,5.6685,5.6982,0
22,1,5.9818,5.9585,0
22,8,12.1582,11.9276,0
22,10,12.384,12.8411,0
22,7,13.576,13.3474,1
22,2,13.5898,14.4043,0
22,4,14.7409,14.7234,0
22,3,16.9908,17.3156,0
22,5,27.984,27.3998,0
